Family;Ploidy;He;Pop;Treat;PetalLength;CorollaDiam;CorollaLength;LongFil;ShortFil;Herkogamy;Height;Nstalk;StalkDiam;Nflowers ;Fruitset;Seedset;Fitness
69;2n;0,5;Ei12;Mount;1,76;3,37;3,14;3,37;4,37;2,36;NA;NA;NA;NA;NA;NA;0
98;2n;0;Ei12;Mount;1,41;2,9;3,24;3,56;2,69;4,32;9;12;1,2;61;0,8852459;NA;0
99;2n;0;Ei12;Mount;1,5;3,66;3,26;3,82;2,3;3,8;7,5;15;2,61;98;0,8877551;NA;0
125;4n;0;Ei09;Mount;2,08;5,01;2,87;5,51;4,25;4,23;14;5;3,69;47;0,72340426;1;0,081347345
125;4n;0;Ei09;Mount;1,8;3,92;3,7;4,5;3,94;3,68;5,5;1;1,07;8;0,625;0,892857143;0,00586414
27;6n;0;Ei16;Mount;1,77;4,86;3,91;4,54;3,86;3,71;6,5;1;0,93;7;1;0,936170213;0,01444924
116;6n;0,5;Ei16;Mount;2,31;5,56;4,55;5,32;4,24;4,76;17,5;6;1,97;52;0,84615385;0,924050633;0,150684932
131;6n;0,5;Ei16;Mount;1,8;4,2;3,6;4,43;3,04;3,44;6,5;1;0,81;3;1;0,972972976;0,006755489
10;4n;0;Ei09;Mount;1,56;3,48;3,77;4,37;2,86;3,16;5,5;3;0,8;20;0;NA;0
150;4n;0;Ei09;Mount;1,88;3,66;3,33;4,54;3,76;4,04;8,5;3;0,71;11;0,72727273;0,982142857;0,020641771
1;4n;0;Ei09;Mount;1,55;4,16;3,13;4,22;3,55;3,57;6;5;0,61;24;0,16666667;NA;0
1;4n;0;Ei09;Mount;2,11;4,18;3,37;4,46;3,76;3,76;8,5;8;0,57;25;0,8;1;0,046913117
56;4n;0;Ei09;Mount;1,88;3,79;3,04;3,3;2,58;3,16;2,5;3;0,66;6;0;NA;0
56;4n;0;Ei09;Mount;1,87;4,17;3,27;4,81;3,89;4,04;3,5;1;0,68;13;0,61538462;1;0,00150122
56;4n;0;Ei09;Mount;1,5;2,83;2,97;3,81;3,28;3,42;3;7;0,61;20;0,4;0,956521739;0,008256709
93;2n;0,5;Ei12;Mount;1,35;2,89;2,37;3,14;2,56;2,85;3,5;1;0,51;3;1;0,666666666;0,001876525
93;2n;0,5;Ei12;Mount;1,54;3,62;3,22;3,38;1,96;3,38;4,5;1;0,43;5;0,4;0,75;0,001125915
93;2n;0,5;Ei12;Mount;1,29;4,01;3,7;3,14;2,32;3,14;6;11;1,19;53;0,50943396;0,884615385;0,029133046
56;4n;0;Ei09;Mount;1,94;3,87;2,69;4,13;3,44;3,35;7;3;0,8;7;0;NA;0
120;4n;0;Ei08;Mount;2,67;5,5;4;4,93;3,44;4,23;5;5;1,29;30;0,83333333;0,958333333;0,053950084
120;4n;0;Ei08;Mount;2,57;5,65;2,94;4,21;3,59;3,46;5;12;1,16;30;0,73333333;0,911764706;0,031994746
49;4n;0;Ei09;Mount;1,61;3,87;3,27;4,06;3,89;3,45;8;3;0,8;13;0,61538462;0,955555556;0,016138112
56;4n;0;Ei09;Mount;1,55;3,8;3,31;4,74;3,67;4,04;3;3;0,57;10;0,3;0,75;0,004644399
56;4n;0;Ei09;Mount;2,18;4,54;3,72;4,72;3,91;4,36;6;5;0,69;30;0,46666667;0,890624997;0,024957778
